timestamp,cpu_percent,cpu_interrupts,virtual_memory_total,virtual_memory_available,virtual_memory_used,virtual_memory_percent,swap_total,swap_used,swap_percent,disk_usage_total,disk_usage_used,disk_usage_percent,net_bytes_sent,net_bytes_recv
2025-11-07 14:43:09,12.4,157216003,17059594240,4833935360,12225658880,71.7,12348030976,98574336,0.8,511207010304,298880331776,58.5,335357247,27634836986
2025-11-07 14:43:20,8.6,157304994,17059594240,4827643904,12231950336,71.7,12348030976,98574336,0.8,511207010304,298880458752,58.5,335391693,27634904479
2025-11-07 14:43:31,9.4,157391699,17059594240,4824756224,12234838016,71.7,12348030976,98574336,0.8,511207010304,298880884736,58.5,335414119,27634947296
2025-11-07 14:43:42,9.6,157469912,17059594240,4837228544,12222365696,71.6,12348030976,98574336,0.8,511207010304,298880884736,58.5,335431600,27634997398
2025-11-07 14:43:53,8.6,157542521,17059594240,4870434816,12189159424,71.5,12348030976,98574336,0.8,511207010304,298880950272,58.5,335447532,27635021791
2025-11-07 14:44:04,8.7,157625082,17059594240,4838785024,12220809216,71.6,12348030976,98574336,0.8,511207010304,298880966656,58.5,335457401,27635065454
2025-11-07 14:44:15,8.2,157711832,17059594240,4818771968,12240822272,71.8,12348030976,98574336,0.8,511207010304,298880905216,58.5,335480225,27635105923
2025-11-07 14:44:26,14.9,157798711,17059594240,4800024576,12259569664,71.9,12348030976,98574336,0.8,511207010304,298881040384,58.5,335524537,27635185105
2025-11-07 14:44:37,10.3,157874106,17059594240,4854370304,12205223936,71.5,12348030976,98574336,0.8,511207010304,298881044480,58.5,335538902,27635215060
2025-11-07 14:44:48,9.2,157954400,17059594240,4905926656,12153667584,71.2,12348030976,98574336,0.8,511207010304,298881044480,58.5,335551413,27635253711
2025-11-07 14:44:59,14.0,158042377,17059594240,4912324608,12147269632,71.2,12348030976,98574336,0.8,511207010304,298881540096,58.5,335566236,27635296851
2025-11-07 14:45:10,53.2,158124784,17059594240,5028900864,12030693376,70.5,12348030976,98574336,0.8,511207010304,298881785856,58.5,335578197,27635339419
2025-11-07 14:45:22,10.2,158207629,17059594240,5058215936,12001378304,70.3,12348030976,98574336,0.8,511207010304,298881785856,58.5,335607691,27635389970
2025-11-07 14:45:33,9.6,158292414,17059594240,5037453312,12022140928,70.5,12348030976,98574336,0.8,511207010304,298881785856,58.5,335621119,27635441438
2025-11-07 14:45:44,8.6,158372596,17059594240,5028012032,12031582208,70.5,12348030976,98574336,0.8,511207010304,298881785856,58.5,335640360,27635467449
2025-11-07 14:45:55,9.6,158447522,17059594240,5064200192,11995394048,70.3,12348030976,98574336,0.8,511207010304,298881789952,58.5,335644730,27635497205
2025-11-07 14:46:06,7.7,158527993,17059594240,5053562880,12006031360,70.4,12348030976,98574336,0.8,511207010304,298881814528,58.5,335655204,27635514980
2025-11-07 14:46:17,8.6,158607440,17059594240,5048160256,12011433984,70.4,12348030976,98574336,0.8,511207010304,298883473408,58.5,335678876,27635544624
2025-11-07 14:46:28,9.8,158694553,17059594240,5043347456,12016246784,70.4,12348030976,98574336,0.8,511207010304,298883473408,58.5,335697192,27635581644
2025-11-07 14:46:39,10.0,158774453,17059594240,5080326144,11979268096,70.2,12348030976,98574336,0.8,511207010304,298883473408,58.5,335704619,27635594825
2025-11-07 14:46:50,18.2,158910947,17059594240,5209387008,11850207232,69.5,12348030976,112689152,0.9,511207010304,298883715072,58.5,335710109,27635606922
2025-11-07 14:47:01,10.3,159024723,17059594240,5156798464,11902795776,69.8,12348030976,112689152,0.9,511207010304,298879635456,58.5,335749055,27635867107
2025-11-07 14:47:12,11.6,159112277,17059594240,5155405824,11904188416,69.8,12348030976,112689152,0.9,511207010304,298879660032,58.5,335756282,27635883630
2025-11-07 14:47:23,8.7,159191942,17059594240,5179957248,11879636992,69.6,12348030976,112689152,0.9,511207010304,298879725568,58.5,335792087,27635914492
2025-11-07 14:47:34,11.4,159299773,17059594240,5183373312,11876220928,69.6,12348030976,112689152,0.9,511207010304,298879725568,58.5,335811527,27635950152
